No,Adress,Latitude,Longitude
1,강릉시,37.751853,128.8760574
2,강원도,37.8228,128.1555
3,거제시,34.8806427,128.6210824
4,경기도,37.4138,127.5183
5,경상남도,35.4606,128.2132
6,경상북도,36.4919,128.8889
7,경주시,35.8561719,129.2247477
8,고양시,37.6583599,126.8320201
9,광명시,37.4784878,126.8642888
10,광양시,34.9406968,127.6958882
11,광주광역시,35.1595454,126.8526012
12,구미시,36.119485,128.3445734
13,군산시,35.9676772,126.7366293
14,김제시,35.8036079,126.8808872
15,김천시,36.1398393,128.1135947
16,김포시,37.6152464,126.7156325
17,김해시,35.2285451,128.8893517
18,금천구,37.4518527,126.9020358
19,나주시,35.0160601,126.7107572
20,남양주시,37.6360028,127.2165279
21,남원시,35.416357,127.3904877
22,단양군,36.9845473,128.3655186
23,대구광역시,35.8714354,128.601445
24,대전광역시,36.3504119,127.3845475
25,동해시,37.5247192,129.1142915
26,마산시,35.213516,128.581433
27,목포시,34.8118351,126.3921664
28,밀양시,35.5037598,128.7464415
29,보령시,36.3331629,126.6129441
30,부산광역시,35.1795543,129.0756416
31,부천시,37.5034138,126.7660309
32,사천시,35.0037788,128.064185
33,산청군,35.4155885,127.8734981
34,서울특별시,37.566535,126.9779692
35,성남시,37.4449168,127.1388684
36,성동구,37.5633415,127.0371025
37,세종특별자치시,36.4800984,127.2890354
38,속초시,38.2070148,128.5918489
39,수원시,37.2635727,127.0286009
40,순창군,35.3744136,127.1375968
41,시흥시,37.3798877,126.8031025
42,안산시,37.3218778,126.8308848
43,안성시,37.0079695,127.2796786
44,안양시,37.3942527,126.9568209
45,양주시,37.7852875,127.0458453
46,양산시,35.3350072,129.0371689
47,용인시,37.2410864,127.1775537
48,영광군,35.2771719,126.5119874
49,영암군,34.8001685,126.6967918
50,여수시,34.7603737,127.6622221
51,옥천군,36.3063646,127.5712809
52,완주군,35.891275,127.253895
53,울산광역시,35.5383773,129.3113596
54,울산북구,35.582734,129.3609087
55,울산남구,35.543683,129.3298017
56,울산동구,35.5048563,129.4166007
57,울주군,35.54,129.2
58,원주시,37.3422186,127.9201621
59,의왕시,37.344701,126.9683104
60,익산시,35.9482858,126.9575991
61,인천광역시,37.4562557,126.7052062
62,인천남동구,37.4469893,126.7319416
63,인천부평구,37.5069818,126.7217739
64,인천서구,37.5454212,126.6759723
65,인천남구,37.4636808,126.6504771
66,전라남도,34.8679,126.991
67,전라북도,35.7175,127.153
68,전주시,35.8242238,127.1479532
69,정읍시,35.5698855,126.8558955
70,제주도,33.4890113,126.4983023
71,제천시,37.1325821,128.1909481
72,진주시,35.1799817,128.1076213
73,진천군,36.8553798,127.4361117
74,창원시,35.2279868,128.6818143
75,창녕군,35.5445563,128.4922143
76,청원군,36.5573058,127.5321341
77,청주시,36.6424341,127.4890319
78,춘천시,37.8813153,127.7299707
79,충주시,36.9910113,127.9259497
80,충청남도,36.5184,126.8
81,충청북도,36.8,127.7
82,파주시,37.7598688,126.7801781
83,포천시,37.8949148,127.2003551
84,평택시,36.9921075,127.1129451
85,포항시,36.0190178,129.3434808
86,태백시,37.1640654,128.9855649
87,하남시,37.5392646,127.2148919
88,화성시,37.1994932,126.8311887
89,횡성군,37.4917566,127.9849295
90,농림축산식품부,36.5045105,127.2651473
91,중소기업진흥공단,35.1797472,128.1112779
92,한국방송통신전파진흥원,35.0206294,126.7952729
93,한국장애인고용공단,37.3483047,127.1229828
94,기술신용보증기금,35.1461694,129.0641435
95,소상공인시장진흥공단,36.3245745,127.4228842
96,근로복지공단,35.3254104,129.0291859
97,국토교통부,36.5052865,127.2632002
98,안양상공회의소,37.386306,126.9313958
